id,name,fuel_id,unit
electricity_clothes_washing,Clothes Washing,electricity,MWh
electricity_computers_and_tvs,Computers and TVs,electricity,MWh
electricity_cooking,Cooking,electricity,MWh
electricity_cooling_and_heating,Heating and Cooling,electricity,MWh
electricity_dishwasher,Dishwasher,electricity,MWh
electricity_drying,Drying,electricity,MWh
electricity_fans_and_pumps,Fans and Pumps,electricity,MWh
electricity_lighting,Lighting,electricity,MWh
electricity_miscellaneous_electrical_loads,MELs & Other,electricity,MWh
electricity_non_pc_office_equipment,Non-PC Office Equipment,electricity,MWh
electricity_pools_and_spas,Pools and Spas,electricity,MWh
electricity_refrigeration,Refrigeration,electricity,MWh
electricity_water_heating,Water Heating,electricity,MWh
