from_id,to_id
2,01065
9,31147
10,06065
11,16051
17,01117
18,28121
19,36047
21,12031
32,06093
33,06037
36,06089
39,06025
47,06073
50,36101
55,22057
57,48417
59,42027
63,48373
71,04009
75,26099
80,06037
81,13021
83,20051
88,05053
91,06037
92,39135
94,18125
96,48215
102,12085
106,29073
111,11001
113,06001
114,12083
115,24510
116,47165
119,06081
120,37125
121,06037
122,47107
125,42041
126,34023
128,25019
132,27171
134,26019
135,21111
137,13051
138,48085
139,20117
144,25013
149,23013
150,18097
152,06041
153,36081
154,51185
159,06037
165,13277
169,06087
171,19137
172,37065
177,13121
178,37119
182,24019
183,06037
186,27097
192,41051
193,19015
195,08005
201,26001
203,27163
205,04027
207,40011
209,39143
215,18061
216,29189
217,01119
220,12011
222,06061
223,30031
226,24510
227,53033
229,36055
232,27097
235,04019
236,27145
240,29009
244,42005
249,42101
250,39017
252,42043
255,39049
259,04007
264,38105
267,47079
268,12091
271,44007
273,20145
278,49049
279,45007
280,36005
287,49035
288,13267
291,48137
292,05031
293,12011
295,22055
296,26117
299,06067
302,40135
303,39133
304,55131
306,05059
307,53067
308,47079
311,54009
318,20173
320,13217
321,29111
322,12033
333,22089
337,22051
342,13051
343,54049
352,28103
361,48299
362,27131
363,42129
367,27019
368,12086
371,12103
375,48291
377,41005
380,39137
383,35013
384,28081
388,12021
392,26125
393,29171
394,17115
395,06007
401,48029
407,21145
411,36115
413,05107
423,17001
424,28083
431,34007
432,25013
433,39049
435,08083
436,22071
440,12101
447,45081
449,26041
453,17031
454,34005
456,36059
457,12086
459,06087
460,20127
463,51600
464,21191
466,55127
467,39017
472,50021
475,23007
478,21235
479,04019
480,18097
481,09003
486,06001
490,45083
495,26099
498,36069
500,36075
501,19175
505,46109
507,39085
509,12115
514,45069
515,48113
520,13015
521,41003
523,26059
529,49057
530,06085
537,42051
538,28033
541,33001
542,05079
546,06037
549,41051
550,37069
552,48149
553,12095
554,12105
557,37195
558,04015
559,12095
561,26081
563,13213
564,01107
565,05143
572,48113
573,36119
575,48113
577,48453
582,21199
583,19023
584,51041
586,17031
588,29051
598,48013
599,34017
601,12099
602,06019
609,18145
611,53067
616,29095
622,48029
624,46013
631,39153
632,38017
638,24043
639,06037
641,39151
645,28109
646,20061
650,34009
651,19157
652,12101
653,37001
654,42091
655,31061
656,55087
657,19127
659,39113
660,47053
661,05045
662,13051
666,19047
667,05003
668,42133
673,40109
674,48037
677,48375
683,18071
684,29125
686,06001
687,30089
688,18035
691,13107
692,42071
697,23003
699,12101
701,37037
703,51083
705,06065
709,39123
711,05025
713,48015
719,25025
720,34003
723,34019
724,34033
726,05119
729,36093
731,17043
733,32003
735,06113
736,29221
738,26065
741,29049
742,13089
743,08059
744,40147
745,34003
746,19041
749,47157
750,05095
752,45045
754,36081
757,54029
759,40139
761,51520
766,34025
770,06037
771,54039
778,42003
784,39113
785,29510
786,30035
787,45049
788,42003
792,12047
793,39167
798,06101
799,42127
800,45011
801,51510
804,45075
805,10003
806,12005
808,36043
810,39061
