id,state,name,time_zone
1669,AL,Autauga,CentralPrevailing
157,AL,Baldwin,CentralPrevailing
2574,AL,Barbour,CentralPrevailing
2489,AL,Bibb,CentralPrevailing
2840,AL,Blount,CentralPrevailing
2114,AL,Bullock,CentralPrevailing
870,AL,Butler,CentralPrevailing
2585,AL,Calhoun,CentralPrevailing
896,AL,Chambers,CentralPrevailing
1691,AL,Cherokee,CentralPrevailing
577,AL,Chilton,CentralPrevailing
2795,AL,Choctaw,CentralPrevailing
701,AL,Clarke,CentralPrevailing
977,AL,Clay,CentralPrevailing
2602,AL,Cleburne,CentralPrevailing
1513,AL,Coffee,CentralPrevailing
395,AL,Colbert,CentralPrevailing
711,AL,Conecuh,CentralPrevailing
2582,AL,Coosa,CentralPrevailing
354,AL,Covington,CentralPrevailing
2363,AL,Crenshaw,CentralPrevailing
2052,AL,Cullman,CentralPrevailing
1849,AL,Dale,CentralPrevailing
431,AL,Dallas,CentralPrevailing
2780,AL,DeKalb,CentralPrevailing
386,AL,Elmore,CentralPrevailing
129,AL,Escambia,CentralPrevailing
1285,AL,Etowah,CentralPrevailing
2054,AL,Fayette,CentralPrevailing
472,AL,Franklin,CentralPrevailing
2844,AL,Geneva,CentralPrevailing
365,AL,Greene,CentralPrevailing
842,AL,Hale,CentralPrevailing
1023,AL,Henry,CentralPrevailing
2143,AL,Houston,CentralPrevailing
220,AL,Jackson,CentralPrevailing
999,AL,Jefferson,CentralPrevailing
2050,AL,Lamar,CentralPrevailing
3084,AL,Lauderdale,CentralPrevailing
2695,AL,Lawrence,CentralPrevailing
2464,AL,Lee,CentralPrevailing
1766,AL,Limestone,CentralPrevailing
1620,AL,Lowndes,CentralPrevailing
1597,AL,Macon,CentralPrevailing
560,AL,Madison,CentralPrevailing
1626,AL,Marengo,CentralPrevailing
658,AL,Marion,CentralPrevailing
327,AL,Marshall,CentralPrevailing
2723,AL,Mobile,CentralPrevailing
795,AL,Monroe,CentralPrevailing
1641,AL,Montgomery,CentralPrevailing
1284,AL,Morgan,CentralPrevailing
631,AL,Perry,CentralPrevailing
2692,AL,Pickens,CentralPrevailing
1519,AL,Pike,CentralPrevailing
2798,AL,Randolph,CentralPrevailing
1582,AL,Russell,CentralPrevailing
2617,AL,St. Clair,CentralPrevailing
698,AL,Shelby,CentralPrevailing
1310,AL,Sumter,CentralPrevailing
250,AL,Talladega,CentralPrevailing
1910,AL,Tallapoosa,CentralPrevailing
2848,AL,Tuscaloosa,CentralPrevailing
3005,AL,Walker,CentralPrevailing
2721,AL,Washington,CentralPrevailing
1234,AL,Wilcox,CentralPrevailing
1681,AL,Winston,CentralPrevailing
978,AZ,Apache,MountainStandard
2609,AZ,Cochise,MountainStandard
279,AZ,Coconino,MountainStandard
245,AZ,Gila,MountainStandard
731,AZ,Graham,MountainStandard
1402,AZ,Greenlee,MountainStandard
