state,time_zone
AL,CentralPrevailing
AZ,MountainStandard
AZ,MountainPrevailing
AR,CentralPrevailing
CA,PacificPrevailing
CO,MountainPrevailing
CT,EasternPrevailing
DE,EasternPrevailing
DC,EasternPrevailing
FL,EasternPrevailing
FL,CentralPrevailing
GA,EasternPrevailing
ID,MountainPrevailing
ID,PacificPrevailing
IL,CentralPrevailing
IN,EasternPrevailing
IN,CentralPrevailing
IA,CentralPrevailing
KS,CentralPrevailing
KS,MountainPrevailing
KY,CentralPrevailing
KY,EasternPrevailing
LA,CentralPrevailing
ME,EasternPrevailing
MD,EasternPrevailing
MA,EasternPrevailing
MI,EasternPrevailing
MI,CentralPrevailing
MN,CentralPrevailing
MS,CentralPrevailing
MO,CentralPrevailing
MT,MountainPrevailing
NE,CentralPrevailing
NE,MountainPrevailing
NV,PacificPrevailing
NH,EasternPrevailing
NJ,EasternPrevailing
NM,MountainPrevailing
NY,EasternPrevailing
NC,EasternPrevailing
ND,MountainPrevailing
ND,CentralPrevailing
OH,EasternPrevailing
OK,CentralPrevailing
OR,PacificPrevailing
OR,MountainPrevailing
PA,EasternPrevailing
RI,EasternPrevailing
SC,EasternPrevailing
SD,CentralPrevailing
SD,MountainPrevailing
TN,EasternPrevailing
TN,CentralPrevailing
TX,CentralPrevailing
TX,MountainPrevailing
UT,MountainPrevailing
VT,EasternPrevailing
VA,EasternPrevailing
WA,PacificPrevailing
WV,EasternPrevailing
WI,CentralPrevailing
WY,MountainPrevailing
AK,AlaskaPrevailing
HI,HawaiiAleutianStandard
