from_id,to_id
Bus+N/A+BEV_200,bev_bus
Personal_LDV+Compact+BEV_200,bev_compact
Personal_LDV+Compact+BEV_300,bev_compact
Personal_LDV+Compact+BEV_400,bev_compact
Personal_LDV+Compact+PHEV_25,phev_compact
Personal_LDV+Compact+PHEV_50,phev_compact
Personal_LDV+Midsize+BEV_200,bev_midsize
Personal_LDV+Midsize+BEV_300,bev_midsize
Personal_LDV+Midsize+BEV_400,bev_midsize
Personal_LDV+Midsize+PHEV_25,phev_midsize
Personal_LDV+Midsize+PHEV_50,phev_midsize
Personal_LDV+Pickup+BEV_200,bev_pickup
Personal_LDV+Pickup+BEV_300,bev_pickup
Personal_LDV+Pickup+BEV_400,bev_pickup
Personal_LDV+Pickup+PHEV_25,phev_pickup
Personal_LDV+Pickup+PHEV_50,phev_pickup
Personal_LDV+SUV+BEV_200,bev_suv
Personal_LDV+SUV+BEV_300,bev_suv
Personal_LDV+SUV+BEV_400,bev_suv
Personal_LDV+SUV+PHEV_25,phev_suv
Personal_LDV+SUV+PHEV_50,phev_suv
Truck_Heavy+Local+BEV_150,bev_heavy_freight_truck
Truck_Heavy+Local+BEV_300,bev_heavy_freight_truck
Truck_Heavy+Long-haul+BEV_300,bev_heavy_freight_truck
Truck_Heavy+Long-haul+BEV_500,bev_heavy_freight_truck
Truck_Heavy+Regional+BEV_150,bev_heavy_freight_truck
Truck_Heavy+Regional+BEV_300,bev_heavy_freight_truck
Truck_Heavy_Vocational+Local+BEV_150,bev_vocational_truck
Truck_Heavy_Vocational+Local+BEV_300,bev_vocational_truck
Truck_Heavy_Vocational+Regional+BEV_150,bev_vocational_truck
Truck_Heavy_Vocational+Regional+BEV_300,bev_vocational_truck
Truck_Light+Local+BEV_150,bev_light-medium_truck
Truck_Light+Local+BEV_300,bev_light-medium_truck
Truck_Light+Long-haul+BEV_300,bev_light-medium_truck
Truck_Light+Long-haul+BEV_500,bev_light-medium_truck
Truck_Light+Regional+BEV_150,bev_light-medium_truck
Truck_Light+Regional+BEV_300,bev_light-medium_truck
Truck_Light_Vocational+Local+BEV_150,bev_vocational_truck
Truck_Light_Vocational+Local+BEV_300,bev_vocational_truck
Truck_Light_Vocational+Regional+BEV_150,bev_vocational_truck
Truck_Light_Vocational+Regional+BEV_300,bev_vocational_truck
Truck_Medium+Local+BEV_150,bev_medium_freight_truck
Truck_Medium+Local+BEV_300,bev_medium_freight_truck
Truck_Medium+Long-haul+BEV_300,bev_medium_freight_truck
Truck_Medium+Long-haul+BEV_500,bev_medium_freight_truck
Truck_Medium+Regional+BEV_150,bev_medium_freight_truck
Truck_Medium+Regional+BEV_300,bev_medium_freight_truck
Truck_Medium_Vocational+Local+BEV_150,bev_vocational_truck
Truck_Medium_Vocational+Local+BEV_300,bev_vocational_truck
Truck_Medium_Vocational+Regional+BEV_150,bev_vocational_truck
Truck_Medium_Vocational+Regional+BEV_300,bev_vocational_truck
Transit_Rail,rail_transit
