from_id,to_id
1210,45001
2683,22001
467,51001
2079,16001
317,40001
1943,21001
2306,19001
3136,29001
1188,8001
530,16003
699,19003
1855,31001
1439,18001
2606,42001
2400,39001
254,38001
799,17001
2773,28001
2053,53001
2171,55001
76,50001
2792,45003
1384,27001
416,12001
204,37001
2565,6001
2821,8003
3045,36001
2151,56001
2025,51003
3082,26001
1197,28003
2356,2013
1517,2016
1720,37003
2368,17003
858,51510
1923,40003
1473,26003
3115,19005
2313,26005
1425,36003
2623,24001
1180,51005
886,37005
1016,42003
787,39003
3004,18003
497,20001
385,21003
1096,22003
462,45005
2282,26007
940,6003
1678,6005
1229,51007
901,51009
2038,28005
1466,2020
2099,20003
393,45007
1929,48001
2724,21005
1807,47001
1536,29003
375,48003
2493,23001
2712,48005
994,24003
2983,27003
911,37007
253,31003
1839,26009
978,4001
3051,19007
694,13001
56,51011
2755,48007
484,8005
2949,48009
417,8007
2684,26011
2473,5001
2863,51013
2341,48011
1862,42005
865,23003
2583,31005
1959,22005
1211,37009
1622,39005
623,55003
889,5003
1569,39007
458,53003
1926,22007
1139,48013
1342,20005
2273,29005
2150,39009
2302,13003
2414,34001
1164,40005
2011,28007
2320,29007
2671,19009
2790,39011
1561,51015
1877,46003
2435,48015
1669,1001
545,37011
2219,22009
185,8009
1555,13005
1152,48017
1850,41001
1501,13007
1987,12003
157,1003
1036,13009
2746,21007
1832,24005
2203,24510
206,45009
1978,48019
348,13011
2649,31007
2942,16005
718,26013
1316,20007
2574,1005
1868,54001
1856,38003
916,25001
786,45011
2964,21009
3032,55005
3048,13013
2008,26015
1794,29009
591,18005
819,20009
2741,29011
1175,13015
716,48021
755,29013
2350,21011
2834,51017
1723,5005
1227,12005
693,26017
2986,55007
3041,48023
1125,46005
2893,16007
2005,45013
2554,37013
3080,22011
1784,42007
1093,40007
39,49001
1882,30001
663,27005
1431,40009
463,51019
2326,42009
281,47003
2387,51515
574,48025
1008,33001
837,48027
1126,21013
25,39013
618,27007
3081,13017
2439,16009
1077,46007
1619,50003
1006,38005
811,8011
1710,28009
644,18007
2043,29015
257,41003
2611,47005
1698,5007
1886,19011
367,27009
2786,53005
3063,26019
841,34003
713,45015
267,54003
2990,42011
2549,25003
2452,35001
708,13019
1121,26021
1052,37015
2483,2050
2420,48029
2489,1007
1973,13021
315,22013
332,30003
544,56003
1020,27011
1063,38007
1696,16011
1506,19013
341,18009
2511,37017
3073,31009
2750,30005
721,40011
1266,16013
213,42013
1347,48031
1570,51021
1007,13023
2672,47007
2840,1009
3053,47009
2161,27013
2950,16015
2392,28011
735,29017
1453,46009
57,17005
1288,16017
2107,16019
19,17007
2022,5009
1027,18011
2224,31011
2802,19015
2418,21015
2597,54005
3097,29019
652,48033
585,48035
1577,22015
934,51023
1482,38009
1988,8013
208,16021
1143,21017
134,20011
2425,48037
653,38011
1062,31013
1591,49003
2558,31015
1966,21019
728,21021
3028,21023
1651,42015
1186,12007
2897,5011
2245,47011
1775,26023
1693,13025
2640,54007
122,48039
2648,48041
561,21025
828,21027
1477,19017
946,12009
2198,48043
1609,48045
2625,44001
144,25005
2751,51520
2384,2060
2728,30007
2187,36005
3086,54009
683,46011
2769,13027
657,48047
2222,36007
2217,8014
1,12011
2251,18013
2725,46013
1045,31017
2881,20013
568,17009
1899,39015
3017,48049
493,27015
2734,55009
815,46015
171,37019
1821,51025
1183,13029
2685,40013
2268,19019
1083,29021
3142,51027
1552,51029
237,42017
371,19021
2785,51530
1820,31019
2689,46017
1777,55011
2438,21029
2498,13031
2114,1011
2086,37021
1174,17011
2650,38013
1218,37023
1750,13033
936,38015
138,48051
1592,34005
357,48053
1387,55013
588,31021
870,1013
2613,42019
1378,20015
3111,31023
10,39017
2578,19023
1358,21031
1811,29023
323,46019
1709,6007
2382,16023
1688,13035
2314,37025
2234,54011
835,49005
780,40015
349,22017
2010,6009
2716,22019
922,29025
2660,37027
1528,48055
643,21033
1546,22021
783,50005
120,5013
888,26025
1176,13037
403,28013
1049,54013
2197,48057
2585,1015
2820,12013
97,19025
1608,17013
1981,45017
633,48059
470,29027
567,21035
2887,55015
2354,24009
333,16025
1459,42021
2123,13039
1648,34007
1066,37029
2057,29029
2292,42023
2948,48061
2214,22023
99,48063
2880,56005
1033,47013
2322,46021
2405,21037
2639,51031
2709,40017
299,13043
2526,47015
1371,16027
183,29031
2069,34009
1202,42025
2996,30009
779,49007
2918,56007
2965,16029
103,21039
2200,27017
2953,24011
1745,51033
465,13045
1065,47017
1046,29033
580,18015
350,17015
2360,39019
2600,33003
239,24013
1764,5015
1205,19027
2641,21041
2276,28015
1829,51035
1014,48065
2128,32510
337,40019
1861,47019
2294,30011
915,29035
2209,21043
3109,37031
1393,27019
1081,30013
1595,21045
426,26027
851,48067
2229,18017
2670,27021
457,31025
2668,38017
2819,19029
1572,17017
2045,29037
1116,16031
2290,48069
2046,37033
1312,22025
2317,37035
1798,13047
821,35003
1917,36009
294,38019
2654,36011
1689,24015
953,31027
881,19031
1294,29039
98,42027
233,19033
685,8015
54,48071
896,1017
1236,39021
796,17019
2240,29041
214,24017
1421,51036
1382,46023
1179,45019
1996,26029
1515,12015
1557,51037
72,51540
966,13049
2909,20017
2538,31029
2149,13051
1048,37037
2274,13053
2686,13055
522,20019
656,36013
1565,35005
615,47021
106,26031
2825,53007
2137,36015
641,36017
110,19035
297,13057
856,48073
1724,20021
1898,37039
2351,40021
2434,45021
1691,1019
1215,31031
2690,51550
270,33005
1663,42029
96,45023
3139,47023
1361,51041
2577,45025
1997,8017
814,20023
765,31033
2800,19037
433,28017
151,5017
2215,48075
577,1021
1012,26033
342,27023
1409,55017
2394,27025
832,50007
1390,40023
2795,1023
2816,28019
2375,30015
847,37041
2832,17021
665,21047
2605,29043
2521,32001
2810,35006
2093,40025
2784,12017
2580,41005
485,47025
18,22027
845,28021
2503,53009
877,26035
2293,45027
423,42031
2077,39023
2084,46025
2497,5019
501,17023
1922,20025
944,32003
14,16033
1437,18019
3006,21049
2768,29045
1625,53011
2213,55019
1841,13059
562,19039
701,1025
1702,28023
109,51043
2651,41007
2402,46027
2975,19041
2590,18021
930,47027
2951,20027
1341,5021
450,31035
409,12019
977,1027
405,37043
2943,48077
1034,13061
153,21051
2067,27027
1024,28025
1040,29047
2958,17025
2536,54015
2132,13063
1818,19043
1203,8019
1471,42033
343,16035
500,27029
2018,5023
2602,1029
1373,39025
2367,40027
215,37045
1518,5025
3034,13065
369,18023
373,21053
2009,26037
3002,36019
331,39027
1198,42035
1924,17027
2028,19045
1833,29049
1363,20029
692,28027
794,40029
2811,13067
2609,4003
2520,48079
2510,47029
279,4005
807,46029
1513,1031
1246,47031
390,13069
2704,20031
2618,48081
395,1033
1273,29051
1613,48083
340,17029
2572,31037
1629,35007
724,45029
1616,12021
1772,48085
1863,48087
2347,51570
720,48089
1995,13071
1248,53013
3074,41009
224,5027
990,36021
1658,42037
872,12023
2807,13073
282,55021
1920,39029
2034,37047
2922,6011
1757,48091
2905,40031
1573,20033
430,48093
203,48095
1564,22029
711,1035
2461,8021
199,6013
2399,56009
1751,5029
2181,17031
278,13075
1603,27031
2553,48097
1558,29053
212,33007
2223,41011
2582,1037
2257,28029
2875,46031
1937,36023
1032,48099
602,39031
131,8023
1779,48101
2177,40033
2681,27033
354,1039
230,28031
2102,51580
894,13077
1916,20035
3126,53015
2104,40035
695,51045
707,5031
1526,48103
1249,37049
2908,17033
380,29055
1291,39033
825,42039
1353,26039
1187,5033
1386,20037
223,19047
1270,13079
2430,18025
2715,55023
778,40037
2363,1041
1462,13081
1508,5035
1541,21055
746,47033
473,48105
1719,56011
1061,41013
2507,48107
1771,5037
2385,27035
2612,8025
1344,48109
2052,1043
1708,51047
1890,37051
2968,17035
2854,34011
1870,42041
481,47035
2208,21057
1707,23005
961,51049
48,31039
1737,37053
2560,41015
2095,35009
1109,30017
2947,16037
1711,40039
2754,31041
2218,46033
2267,8027
1368,39035
412,13083
2608,29057
1357,49009
2265,31043
494,27037
1849,1045
3037,48111
2619,19049
972,29059
431,1047
1134,5039
1803,48113
38,55025
1912,30019
2042,51590
2946,37055
1903,39037
1773,45031
3133,42043
404,37057
2528,47037
1982,37059
1789,29061
2155,18027
620,21059
554,19051
402,49011
2091,46035
1666,31045
634,13085
759,30021
2462,48115
741,31047
810,46037
2830,35011
513,22031
2667,17039
536,48117
569,18029
725,19053
2330,20039
611,13087
21,47039
1618,18031
2992,30023
1050,39039
2765,18033
344,17037
1313,29063
2740,47041
2780,1049
1962,13089
1845,6015
1684,39041
2436,18035
975,40041
826,36025
2540,42045
1115,19055
1549,48119
