id,state,dgen_county,name,time_zone
1669,AL,Autauga,Autauga County,CentralPrevailing
157,AL,Baldwin,Baldwin County,CentralPrevailing
2574,AL,Barbour,Barbour County,CentralPrevailing
2489,AL,Bibb,Bibb County,CentralPrevailing
2840,AL,Blount,Blount County,CentralPrevailing
2114,AL,Bullock,Bullock County,CentralPrevailing
870,AL,Butler,Butler County,CentralPrevailing
2585,AL,Calhoun,Calhoun County,CentralPrevailing
896,AL,Chambers,Chambers County,CentralPrevailing
1691,AL,Cherokee,Cherokee County,CentralPrevailing
577,AL,Chilton,Chilton County,CentralPrevailing
2795,AL,Choctaw,Choctaw County,CentralPrevailing
701,AL,Clarke,Clarke County,CentralPrevailing
977,AL,Clay,Clay County,CentralPrevailing
2602,AL,Cleburne,Cleburne County,CentralPrevailing
1513,AL,Coffee,Coffee County,CentralPrevailing
395,AL,Colbert,Colbert County,CentralPrevailing
711,AL,Conecuh,Conecuh County,CentralPrevailing
2582,AL,Coosa,Coosa County,CentralPrevailing
354,AL,Covington,Covington County,CentralPrevailing
2363,AL,Crenshaw,Crenshaw County,CentralPrevailing
2052,AL,Cullman,Cullman County,CentralPrevailing
1849,AL,Dale,Dale County,CentralPrevailing
431,AL,Dallas,Dallas County,CentralPrevailing
2780,AL,DeKalb,DeKalb County,CentralPrevailing
386,AL,Elmore,Elmore County,CentralPrevailing
129,AL,Escambia,Escambia County,CentralPrevailing
1285,AL,Etowah,Etowah County,CentralPrevailing
2054,AL,Fayette,Fayette County,CentralPrevailing
472,AL,Franklin,Franklin County,CentralPrevailing
2844,AL,Geneva,Geneva County,CentralPrevailing
365,AL,Greene,Greene County,CentralPrevailing
842,AL,Hale,Hale County,CentralPrevailing
1023,AL,Henry,Henry County,CentralPrevailing
2143,AL,Houston,Houston County,CentralPrevailing
220,AL,Jackson,Jackson County,CentralPrevailing
999,AL,Jefferson,Jefferson County,CentralPrevailing
2050,AL,Lamar,Lamar County,CentralPrevailing
3084,AL,Lauderdale,Lauderdale County,CentralPrevailing
2695,AL,Lawrence,Lawrence County,CentralPrevailing
2464,AL,Lee,Lee County,CentralPrevailing
1766,AL,Limestone,Limestone County,CentralPrevailing
1620,AL,Lowndes,Lowndes County,CentralPrevailing
1597,AL,Macon,Macon County,CentralPrevailing
560,AL,Madison,Madison County,CentralPrevailing
1626,AL,Marengo,Marengo County,CentralPrevailing
658,AL,Marion,Marion County,CentralPrevailing
327,AL,Marshall,Marshall County,CentralPrevailing
2723,AL,Mobile,Mobile County,CentralPrevailing
795,AL,Monroe,Monroe County,CentralPrevailing
1641,AL,Montgomery,Montgomery County,CentralPrevailing
1284,AL,Morgan,Morgan County,CentralPrevailing
631,AL,Perry,Perry County,CentralPrevailing
2692,AL,Pickens,Pickens County,CentralPrevailing
1519,AL,Pike,Pike County,CentralPrevailing
2798,AL,Randolph,Randolph County,CentralPrevailing
