state_fips,county_fips,geoid10,county,state_abbr,state,county_id
45,1,45001,Abbeville,SC,South Carolina,1210
22,1,22001,Acadia,LA,Louisiana,2683
51,1,51001,Accomack,VA,Virginia,467
16,1,16001,Ada,ID,Idaho,2079
40,1,40001,Adair,OK,Oklahoma,317
21,1,21001,Adair,KY,Kentucky,1943
19,1,19001,Adair,IA,Iowa,2306
29,1,29001,Adair,MO,Missouri,3136
8,1,8001,Adams,CO,Colorado,1188
16,3,16003,Adams,ID,Idaho,530
19,3,19003,Adams,IA,Iowa,699
31,1,31001,Adams,NE,Nebraska,1855
18,1,18001,Adams,IN,Indiana,1439
42,1,42001,Adams,PA,Pennsylvania,2606
39,1,39001,Adams,OH,Ohio,2400
38,1,38001,Adams,ND,North Dakota,254
17,1,17001,Adams,IL,Illinois,799
28,1,28001,Adams,MS,Mississippi,2773
53,1,53001,Adams,WA,Washington,2053
55,1,55001,Adams,WI,Wisconsin,2171
50,1,50001,Addison,VT,Vermont,76
45,3,45003,Aiken,SC,South Carolina,2792
27,1,27001,Aitkin,MN,Minnesota,1384
12,1,12001,Alachua,FL,Florida,416
37,1,37001,Alamance,NC,North Carolina,204
6,1,6001,Alameda,CA,California,2565
8,3,8003,Alamosa,CO,Colorado,2821
36,1,36001,Albany,NY,New York,3045
56,1,56001,Albany,WY,Wyoming,2151
51,3,51003,Albemarle,VA,Virginia,2025
26,1,26001,Alcona,MI,Michigan,3082
28,3,28003,Alcorn,MS,Mississippi,1197
2,13,2013,Aleutians East,AK,Alaska,2356
2,16,2016,Aleutians West,AK,Alaska,1517
37,3,37003,Alexander,NC,North Carolina,1720
17,3,17003,Alexander,IL,Illinois,2368
51,510,51510,Alexandria,VA,Virginia,858
40,3,40003,Alfalfa,OK,Oklahoma,1923
26,3,26003,Alger,MI,Michigan,1473
19,5,19005,Allamakee,IA,Iowa,3115
26,5,26005,Allegan,MI,Michigan,2313
36,3,36003,Allegany,NY,New York,1425
24,1,24001,Allegany,MD,Maryland,2623
51,5,51005,Alleghany,VA,Virginia,1180
37,5,37005,Alleghany,NC,North Carolina,886
42,3,42003,Allegheny,PA,Pennsylvania,1016
39,3,39003,Allen,OH,Ohio,787
18,3,18003,Allen,IN,Indiana,3004
20,1,20001,Allen,KS,Kansas,497
21,3,21003,Allen,KY,Kentucky,385
22,3,22003,Allen,LA,Louisiana,1096
45,5,45005,Allendale,SC,South Carolina,462
26,7,26007,Alpena,MI,Michigan,2282
6,3,6003,Alpine,CA,California,940
6,5,6005,Amador,CA,California,1678
51,7,51007,Amelia,VA,Virginia,1229
51,9,51009,Amherst,VA,Virginia,901
28,5,28005,Amite,MS,Mississippi,2038
2,20,2020,Anchorage,AK,Alaska,1466
20,3,20003,Anderson,KS,Kansas,2099
45,7,45007,Anderson,SC,South Carolina,393
48,1,48001,Anderson,TX,Texas,1929
21,5,21005,Anderson,KY,Kentucky,2724
47,1,47001,Anderson,TN,Tennessee,1807
29,3,29003,Andrew,MO,Missouri,1536
48,3,48003,Andrews,TX,Texas,375
23,1,23001,Androscoggin,ME,Maine,2493
48,5,48005,Angelina,TX,Texas,2712
24,3,24003,Anne Arundel,MD,Maryland,994
27,3,27003,Anoka,MN,Minnesota,2983
37,7,37007,Anson,NC,North Carolina,911
31,3,31003,Antelope,NE,Nebraska,253
26,9,26009,Antrim,MI,Michigan,1839
4,1,4001,Apache,AZ,Arizona,978
19,7,19007,Appanoose,IA,Iowa,3051
13,1,13001,Appling,GA,Georgia,694
51,11,51011,Appomattox,VA,Virginia,56
48,7,48007,Aransas,TX,Texas,2755
8,5,8005,Arapahoe,CO,Colorado,484
48,9,48009,Archer,TX,Texas,2949
8,7,8007,Archuleta,CO,Colorado,417
26,11,26011,Arenac,MI,Michigan,2684
5,1,5001,Arkansas,AR,Arkansas,2473
51,13,51013,Arlington,VA,Virginia,2863
48,11,48011,Armstrong,TX,Texas,2341
42,5,42005,Armstrong,PA,Pennsylvania,1862
23,3,23003,Aroostook,ME,Maine,865
31,5,31005,Arthur,NE,Nebraska,2583
22,5,22005,Ascension,LA,Louisiana,1959
37,9,37009,Ashe,NC,North Carolina,1211
39,5,39005,Ashland,OH,Ohio,1622
55,3,55003,Ashland,WI,Wisconsin,623
5,3,5003,Ashley,AR,Arkansas,889
39,7,39007,Ashtabula,OH,Ohio,1569
53,3,53003,Asotin,WA,Washington,458
22,7,22007,Assumption,LA,Louisiana,1926
48,13,48013,Atascosa,TX,Texas,1139
20,5,20005,Atchison,KS,Kansas,1342
29,5,29005,Atchison,MO,Missouri,2273
