from_id,to_id
01001,SRSOc
01003,SRSOc
01005,SRSOc
01007,SRSOc
01009,SRSOc
01011,SRSOc
01013,SRSOc
01015,SRSOc
01017,SRSOc
01019,SRSOc
01021,SRSOc
01023,SRSOc
01025,SRSOc
01027,SRSOc
01029,SRSOc
01031,SRSOc
01033,SRSOc
01035,SRSOc
01037,SRSOc
01039,SRSOc
01041,SRSOc
01043,SRSOc
01045,SRSOc
01047,SRSOc
01049,SRSOc
01051,SRSOc
01053,SRSOc
01055,SRSOc
01057,SRSOc
01059,SRSOc
01061,SRSOc
01063,SRSOc
01065,SRSOc
01067,SRSOc
01069,SRSOc
01071,SRSOc
01073,SRSOc
01075,SRSOc
01077,SRSOc
01079,SRSOc
01081,SRSOc
01083,SRSOc
01085,SRSOc
01087,SRSOc
01089,SRSOc
01091,SRSOc
01093,SRSOc
01095,SRSOc
01097,SRSOc
01099,SRSOc
01101,SRSOc
01103,SRSOc
01105,SRSOc
01107,SRSOc
01109,SRSOc
01111,SRSOc
01113,SRSOc
01115,SRSOc
01117,SRSOc
01119,SRSOc
01121,SRSOc
01123,SRSOc
01125,SRSOc
01127,SRSOc
01129,SRSOc
01131,SRSOc
01133,SRSOc
04001,AZNMc
04003,AZNMc
04005,AZNMc
04007,AZNMc
04009,AZNMc
04011,AZNMc
04012,AZNMc
04013,AZNMc
04015,AZNMc
04017,AZNMc
04019,AZNMc
04021,AZNMc
04023,AZNMc
04025,AZNMc
04027,AZNMc
05001,SRMVc
05003,SRMVc
05005,SRMVc
05007,SPSOc
05009,SPSOc
05011,SRMVc
05013,SRMVc
05015,SPSOc
05017,SRMVc
05019,SRMVc
05021,SRMVc
05023,SPSOc
05025,SRMVc
05027,SRMVc
05029,SRMVc
05031,SRMVc
05033,SPSOc
05035,SRMVc
05037,SRMVc
05039,SRMVc
05041,SRMVc
05043,SRMVc
05045,SRMVc
05047,SPSOc
05049,SRMVc
05051,SRMVc
05053,SRMVc
05055,SRMVc
05057,SRMVc
05059,SRMVc
05061,SPSOc
05063,SRMVc
05065,SRMVc
05067,SRMVc
05069,SRMVc
05071,SPSOc
05073,SRMVc
05075,SRMVc
05077,SRMVc
05079,SRMVc
05081,SRMVc
05083,SPSOc
05085,SRMVc
05087,SPSOc
05089,SPSOc
05091,SRMVc
05093,SRMVc
05095,SRMVc
05097,SPSOc
05099,SRMVc
05101,SPSOc
05103,SRMVc
05105,SRMVc
05107,SRMVc
05109,SPSOc
05111,SRMVc
05113,SPSOc
05115,SRMVc
05117,SRMVc
05119,SRMVc
05121,SRMVc
05123,SRMVc
05125,SRMVc
05127,SPSOc
05129,SPSOc
05131,SPSOc
05133,SRMVc
05135,SRMVc
05137,SRMVc
05139,SRMVc
05141,SPSOc
05143,SPSOc
05145,SRMVc
05147,SRMVc
05149,SRMVc
06001,CAMXc
06003,CAMXc
06005,CAMXc
06007,CAMXc
06009,CAMXc
06011,CAMXc
06013,CAMXc
06015,CAMXc
06017,CAMXc
06019,CAMXc
06021,CAMXc
06023,CAMXc
06025,CAMXc
06027,CAMXc
06029,CAMXc
06031,CAMXc
06033,CAMXc
06035,NWPPc
06037,CAMXc
06039,CAMXc
06041,CAMXc
06043,CAMXc
06045,CAMXc
06047,CAMXc
06049,NWPPc
06051,CAMXc
06053,CAMXc
06055,CAMXc
06057,CAMXc
06059,CAMXc
06061,CAMXc
06063,CAMXc
06065,CAMXc
06067,CAMXc
06069,CAMXc
06071,CAMXc
06073,CAMXc
06075,CAMXc
06077,CAMXc
06079,CAMXc
06081,CAMXc
06083,CAMXc
06085,CAMXc
06087,CAMXc
06089,CAMXc
06091,CAMXc
06093,NWPPc
06095,CAMXc
06097,CAMXc
06099,CAMXc
06101,CAMXc
06103,CAMXc
06105,CAMXc
06107,CAMXc
06109,CAMXc
06111,CAMXc
06113,CAMXc
06115,CAMXc
08001,RMPAc
08003,RMPAc
08005,RMPAc
08007,RMPAc
08009,RMPAc
08011,RMPAc
08013,RMPAc
08014,RMPAc
08015,RMPAc
08017,RMPAc
08019,RMPAc
08021,RMPAc
08023,RMPAc
08025,RMPAc
08027,RMPAc
08029,RMPAc
08031,RMPAc
08033,RMPAc
08035,RMPAc
08037,RMPAc
08039,RMPAc
08041,RMPAc
08043,RMPAc
08045,RMPAc
08047,RMPAc
08049,RMPAc
08051,RMPAc
08053,RMPAc
08055,RMPAc
08057,RMPAc
08059,RMPAc
08061,RMPAc
08063,RMPAc
08065,RMPAc
08067,RMPAc
08069,RMPAc
08071,RMPAc
08073,RMPAc
08075,RMPAc
08077,RMPAc
08079,RMPAc
08081,RMPAc
08083,RMPAc
08085,RMPAc
08087,RMPAc
08089,RMPAc
08091,RMPAc
08093,RMPAc
08095,RMPAc
08097,RMPAc
08099,RMPAc
08101,RMPAc
08103,RMPAc
08105,RMPAc
08107,RMPAc
08109,RMPAc
08111,RMPAc
08113,RMPAc
08115,RMPAc
08117,RMPAc
08119,RMPAc
08121,RMPAc
08123,RMPAc
08125,RMPAc
09001,NEWEc
09003,NEWEc
09005,NEWEc
09007,NEWEc
09009,NEWEc
09011,NEWEc
09013,NEWEc
09015,NEWEc
10001,RFCEc
10003,RFCEc
