from_id,to_id
16001,BASN
16003,BASN
16005,BASN
16007,BASN
16011,BASN
16013,BASN
16015,BASN
16019,BASN
16023,BASN
16025,BASN
16027,BASN
16029,BASN
16031,BASN
16033,BASN
16035,BASN
16037,BASN
16039,BASN
16041,BASN
16043,BASN
16045,BASN
16047,BASN
16049,BASN
16051,BASN
16053,BASN
16059,BASN
16063,BASN
16065,BASN
16067,BASN
16071,BASN
16073,BASN
16075,BASN
16077,BASN
16079,BASN
16081,BASN
16083,BASN
16085,BASN
16087,BASN
32001,BASN
32003,BASN
32005,BASN
32007,BASN
32009,BASN
32011,BASN
32013,BASN
32015,BASN
32017,BASN
32019,BASN
32021,BASN
32023,BASN
32027,BASN
32029,BASN
32031,BASN
32033,BASN
32510,BASN
49001,BASN
49003,BASN
49005,BASN
49007,BASN
49009,BASN
49011,BASN
49013,BASN
49015,BASN
49017,BASN
49019,BASN
49021,BASN
49023,BASN
49025,BASN
49027,BASN
49029,BASN
49031,BASN
49033,BASN
49035,BASN
49037,BASN
49039,BASN
49041,BASN
49043,BASN
49045,BASN
49047,BASN
49049,BASN
49051,BASN
49053,BASN
49055,BASN
49057,BASN
56003,BASN
56013,BASN
56017,BASN
56023,BASN
56029,BASN
56035,BASN
56037,BASN
56039,BASN
56041,BASN
56043,BASN
06001,CANO
06003,CANO
06005,CANO
06007,CANO
06009,CANO
06011,CANO
06013,CANO
06015,CANO
06017,CANO
06019,CANO
06021,CANO
06023,CANO
06031,CANO
06033,CANO
06039,CANO
06041,CANO
06043,CANO
06045,CANO
06047,CANO
06053,CANO
06055,CANO
06057,CANO
06061,CANO
06063,CANO
06067,CANO
06069,CANO
06075,CANO
06077,CANO
06079,CANO
06081,CANO
06083,CANO
06085,CANO
06087,CANO
06089,CANO
06091,CANO
06095,CANO
06097,CANO
06099,CANO
06101,CANO
06103,CANO
06105,CANO
06109,CANO
06113,CANO
06115,CANO
06025,CASO
06027,CASO
06029,CASO
06037,CASO
06051,CASO
06059,CASO
06065,CASO
06071,CASO
06073,CASO
06107,CASO
06111,CASO
12001,FRCC
12003,FRCC
12007,FRCC
12009,FRCC
12011,FRCC
12015,FRCC
12017,FRCC
12019,FRCC
12021,FRCC
12023,FRCC
12027,FRCC
12029,FRCC
12031,FRCC
12035,FRCC
12037,FRCC
12039,FRCC
12041,FRCC
12043,FRCC
12047,FRCC
12049,FRCC
12051,FRCC
12053,FRCC
12055,FRCC
12057,FRCC
12061,FRCC
12065,FRCC
12067,FRCC
12069,FRCC
12071,FRCC
12073,FRCC
12075,FRCC
12077,FRCC
12079,FRCC
12081,FRCC
12083,FRCC
12085,FRCC
12086,FRCC
12087,FRCC
12089,FRCC
12093,FRCC
12095,FRCC
12097,FRCC
12099,FRCC
12101,FRCC
12103,FRCC
12105,FRCC
12107,FRCC
12109,FRCC
12111,FRCC
12115,FRCC
12117,FRCC
12119,FRCC
12121,FRCC
12123,FRCC
12125,FRCC
12127,FRCC
12129,FRCC
09001,ISNE
09003,ISNE
09005,ISNE
09007,ISNE
09009,ISNE
09011,ISNE
09013,ISNE
09015,ISNE
23001,ISNE
23003,ISNE
23005,ISNE
23007,ISNE
23009,ISNE
23011,ISNE
23013,ISNE
23015,ISNE
23017,ISNE
23019,ISNE
23021,ISNE
23023,ISNE
23025,ISNE
23027,ISNE
23029,ISNE
23031,ISNE
25001,ISNE
25003,ISNE
25005,ISNE
25007,ISNE
25009,ISNE
25011,ISNE
25013,ISNE
25015,ISNE
25017,ISNE
25019,ISNE
25021,ISNE
25023,ISNE
25025,ISNE
25027,ISNE
33001,ISNE
33003,ISNE
33005,ISNE
33007,ISNE
33009,ISNE
33011,ISNE
33013,ISNE
33015,ISNE
33017,ISNE
33019,ISNE
44001,ISNE
44003,ISNE
44005,ISNE
44007,ISNE
44009,ISNE
50001,ISNE
50003,ISNE
50005,ISNE
50007,ISNE
50009,ISNE
50011,ISNE
50013,ISNE
50015,ISNE
50017,ISNE
50019,ISNE
50021,ISNE
50023,ISNE
50025,ISNE
50027,ISNE
17001,MISC
17003,MISC
17005,MISC
17009,MISC
17011,MISC
17013,MISC
17017,MISC
17019,MISC
17021,MISC
17023,MISC
17025,MISC
17027,MISC
17029,MISC
17033,MISC
17035,MISC
17039,MISC
17041,MISC
17045,MISC
17047,MISC
17049,MISC
17051,MISC
17053,MISC
17055,MISC
17057,MISC
17059,MISC
17061,MISC
17065,MISC
17067,MISC
17069,MISC
17071,MISC
17073,MISC
17075,MISC
17077,MISC
17079,MISC
17081,MISC
17083,MISC
17087,MISC
17095,MISC
17101,MISC
17107,MISC
17109,MISC
17113,MISC
17115,MISC
17117,MISC
17119,MISC
17121,MISC
17123,MISC
17125,MISC
17127,MISC
17129,MISC
17131,MISC
17133,MISC
17135,MISC
17137,MISC
17139,MISC
17143,MISC
17145,MISC
17147,MISC
17149,MISC
17151,MISC
17153,MISC
17155,MISC
17157,MISC
17159,MISC
17161,MISC
17163,MISC
17165,MISC
17167,MISC
17169,MISC
17171,MISC
17173,MISC
17175,MISC
17179,MISC
17181,MISC
17183,MISC
17185,MISC
17187,MISC
17189,MISC
17191,MISC
17193,MISC
17199,MISC
17203,MISC
18005,MISC
18013,MISC
18019,MISC
18021,MISC
18025,MISC
18027,MISC
18029,MISC
18031,MISC
18037,MISC
18041,MISC
18043,MISC
18047,MISC
18051,MISC
18055,MISC
18061,MISC
18065,MISC
18071,MISC
18077,MISC
18079,MISC
18081,MISC
18083,MISC
18093,MISC
18101,MISC
18105,MISC
18109,MISC
18115,MISC
18117,MISC
18119,MISC
18123,MISC
18125,MISC
18129,MISC
18137,MISC
18139,MISC
18143,MISC
18145,MISC
18147,MISC
18153,MISC
18155,MISC
18161,MISC
18163,MISC
18173,MISC
18175,MISC
18177,MISC
29001,MISC
29007,MISC
29017,MISC
29019,MISC
29023,MISC
29027,MISC
29029,MISC
29031,MISC
29035,MISC
29045,MISC
29051,MISC
29053,MISC
29055,MISC
29059,MISC
29065,MISC
29069,MISC
29071,MISC
29073,MISC
29089,MISC
29091,MISC
