from_id,to_id
electricity_ceiling_fan,building_end_uses
electricity_computers,building_end_uses
electricity_drying,building_end_uses
electricity_cooking,building_end_uses
electricity_cooling,building_end_uses
electricity_fans_and_pumps,,building_end_uses
electricity_heating,building_end_uses
electricity_heating_secondary,building_end_uses
electricity_lighting,building_end_uses
electricity_miscellaneous_electrical_loads,building_end_uses
electricity_non-PC_office_equipment,building_end_uses
electricity_other,building_end_uses
electricity_personal_computers,building_end_uses
electricity_refrigeration,building_end_uses
electricity_televisions,building_end_uses
electricity_ventilation,building_end_uses
electricity_water_heating,building_end_uses
electricity_ev_commercial_dcfc,
electricity_ev_commercial_l1l2,
electricity_ev_residential_l1l2,
electricity_lightrail,
fuel_oil_conventional_boiler,
natural_gas_conventional_boiler,
hgl_conventional_boiler,
coal_conventional_boiler,
electricity_process_heating,
fuel_oil_process_heating,
natural_gas_process_heating,
hgl_process_heating,
coal_process_heating,
electricity_process_cooling_and_refrigeration,
natural_gas_process_cooling_and_refrigeration,
electricity_machine_drive,
fuel_oil_machine_drive,
natural_gas_machine_drive,
hgl_machine_drive,
coal_machine_drive,
electricity_electro-chemical_processes,
electricity_other_process,
fuel_oil_other_process,
natural_gas_other_process,
hgl_other_process,
coal_other_process,
electricity_facility_hvac,
natural_gas_facility_hvac,
electricity_facility_lighting,
electricity_other_facility_support,
natural_gas_other_facility_support,
electricity_onsite_transportation,
fuel_oil_onsite_transportation,
natural_gas_onsite_transportation,
hgl_onsite_transportation,
electricity_other_nonprocess,
fuel_oil_other_nonprocess,
natural_gas_other_nonprocess,
electricity_chp,
electricity_thermal_dg,
electricity_dpv,
electricity_unspecified,
natural_gas_unspecified,
