id,name,fuel_id,unit
district_cooling_cooling,District Cooling Cooling,electricity,MWh
district_heating_heating,District Heating Heating,natural_gas,MBtu
district_heating_water_systems,District Heating Water Systems,natural_gas,MBtu
electricity_bath_fan,Bath Fan,electricity,MWh
electricity_ceiling_fan,Ceiling Fan,electricity,MWh
electricity_clothes_dryer,Clothes Dryer,electricity,MWh
electricity_clothes_washer,Clothes Washer,electricity,MWh
electricity_cooking_range,Cooking Range,electricity,MWh
electricity_cooling,Cooling,electricity,MWh
electricity_dishwasher,Dishwasher,electricity,MWh
electricity_exterior_holiday_lighting,Exterior Holiday Lighting,electricity,MWh
electricity_exterior_lighting,Exterior Lighting,electricity,MWh
electricity_extra_refrigerator,Extra Refrigerator,electricity,MWh
electricity_fans,Fans,electricity,MWh
electricity_fans_cooling,Fans Cooling,electricity,MWh
electricity_fans_heating,Fans Heating,electricity,MWh
electricity_freezer,Freezer,electricity,MWh
electricity_garage_lighting,Garage Lighting,electricity,MWh
electricity_heat_recovery,Heat Recovery,electricity,MWh
electricity_heat_rejection,Heat Rejection,electricity,MWh
electricity_heating,Heating,electricity,MWh
electricity_heating_supplemental,Heating Supplemental,electricity,MWh
electricity_hot_tub_heater,Hot Tub Heater,electricity,MWh
electricity_hot_tub_pump,Hot Tub Pump,electricity,MWh
electricity_house_fan,House Fan,electricity,MWh
electricity_interior_equipment,Interior Equipment,electricity,MWh
electricity_interior_lighting,Interior Lighting,electricity,MWh
electricity_plug_loads,Plug Loads,electricity,MWh
electricity_pool_heater,Pool Heater,electricity,MWh
electricity_pool_pump,Pool Pump,electricity,MWh
electricity_pumps,Pumps,electricity,MWh
electricity_pumps_cooling,Pumps Cooling,electricity,MWh
electricity_pumps_heating,Pumps Heating,electricity,MWh
electricity_range_fan,Range Fan,electricity,MWh
electricity_recirc_pump,Recircuation Pump,electricity,MWh
electricity_refrigeration,Refrigeration,electricity,MWh
electricity_refrigerator,Refrigerator,electricity,MWh
electricity_water_systems,Water Systems,electricity,MWh
electricity_well_pump,Well Pump,electricity,MWh
fuel_oil_heating,Heating,fuel_oil,MBtu
fuel_oil_water_systems,Water Systems,fuel_oil,MBtu
natural_gas_clothes_dryer,Clothes Dryer,natural_gas,MBtu
natural_gas_cooking_range,Cooking Range,natural_gas,MBtu
natural_gas_fireplace,Fireplace,natural_gas,MBtu
natural_gas_grill,Grill,natural_gas,MBtu
natural_gas_heating,Heating,natural_gas,MBtu
natural_gas_hot_tub_heater,Hot Tub Heater,natural_gas,MBtu
natural_gas_interior_equipment,Interior Equipment,natural_gas,MBtu
natural_gas_lighting,Lighting,natural_gas,MBtu
natural_gas_pool_heater,Pool Heater,natural_gas,MBtu
natural_gas_water_systems,Water Systems,natural_gas,MBtu
propane_clothes_dryer,Clothes Dryer,propane,MBtu
propane_cooking_range,Cooking Range,propane,MBtu
propane_heating,Heating,propane,MBtu
propane_water_systems,Water Systems,propane,MBtu
wood_heating,Heating,wood,MBtu
electricity_ev_dcfc,EV DCFC,electricity,MWh
electricity_ev_l1l2,EV L1/L2,electricity,MWh
electricity_conventional_boiler,Conventional Boiler,electricity,MWh
fuel_oil_conventional_boiler,Conventional Boiler,fuel_oil,MBtu
natural_gas_conventional_boiler,Conventional Boiler,natural_gas,MBtu
hgl_conventional_boiler,Conventional Boiler,hgl,MBtu
coal_conventional_boiler,Conventional Boiler,coal,MBtu
electricity_process_heating,Process Heating,electricity,MWh
fuel_oil_process_heating,Process Heating,fuel_oil,MBtu
natural_gas_process_heating,Process Heating,natural_gas,MBtu
hgl_process_heating,Process Heating,hgl,MBtu
coal_process_heating,Process Heating,coal,MBtu
electricity_process_cooling_and_refrigeration,Process Cooling and Refrigeration,electricity,MWh
natural_gas_process_cooling_and_refrigeration,Process Cooling and Refrigeration,natural_gas,MBtu
electricity_machine_drive,Machine Drive,electricty,MWh
fuel_oil_machine_drive,Machine Drive,fuel_oil,MBtu
natural_gas_machine_drive,Machine Drive,natural_gas,MBtu
hgl_machine_drive,Machine Drive,hgl,MBtu
coal_machine_drive,Machine Drive,coal,MBtu
electricity_electro-chemical_processes,Electro-Chemical Process,electricity,MWh
electricity_other_process,Other Process,electricity,MWh
fuel_oil_other_process,Other Process,fuel_oil,MBtu
natural_gas_other_process,Other Process,natural_gas,MBtu
hgl_other_process,Other Process,hgl,MBtu
coal_other_process,Other Process,coal,MBtu
electricity_facility_hvac,Facility HVAC,electricity,MWh
natural_gas_facility_hvac,Facility HVAC,natural_gas,MBtu
electricity_facility_lighting,Facility Lighting,electricity,MWh
electricity_other_facility_support,Other Facility Support,electricity,MWh
natural_gas_other_facility_support,Other Facility Support,natural_gas,MBtu
electricity_onsite_transportation,Onsite Transportation,electricity,MWh,
fuel_oil_onsite_transportation,Onsite Transportation,fuel_oil,MBtu
natural_gas_onsite_transportation,Onsite Transportation,natural_gas,MBtu
hgl_onsite_transportation,Onsite Transportation,hgl,MBtu
electricity_other_nonprocess,Other Nonprocess,electricity,MWh
fuel_oil_other_nonprocess,Other Nonprocess,fuel_oil,MBtu
natural_gas_other_nonprocess,Other Nonprocess,natural_gas,MBtu
electricity_chp,Combined Heat and Power,electricity,MWh
electricity_thermal_dg,Thermal DG,electricity,MWh
electricity_dpv,Distributed PV,electricity,MWh
electricity_unspecified,Unspecified,electricity,MWh
natural_gas_unspecified,Unspecified,natural_gas,MBtu
