id,residential_end_uses,commercial_end_uses,transportation_end_uses,industrial_end_uses
electricity_pools_and_spas,x,,,
electricity_clothes_washing,x,,,
electricity_cooling_and_heating,x,x,,
electricity_non_pc_office_equipment,,x,,
electricity_dishwasher,x,,,
electricity_computers_and_tvs,x,,,
electricity_drying,x,,,
electricity_cooking,x,x,,
electricity_fans_and_pumps,x,,,
electricity_lighting,x,x,,
electricity_miscellaneous_electrical_loads,x,x,,
electricity_refrigeration,x,x,,
electricity_water_heating,x,x,,
electricity_ev_commercial_dcfc,,,x,
electricity_ev_commercial_l1l2,,,x,
electricity_ev_residential_l1l2,,,x,
electricity_lightrail,,,x,
electricity_conventional_boiler,,,,x
electricity_process_heating,,,,x
electricity_process_cooling_and_refrigeration,,,,x
electricity_machine_drive,,,,x
electricity_electro-chemical_processes,,,,x
electricity_other_process,,,,x
electricity_facility_hvac,,,,x
electricity_facility_lighting,,,,x
electricity_other_facility_support,,,,x
electricity_onsite_transportation,,,,x
electricity_other_nonprocess,,,,x
electricity_chp,,,,
electricity_thermal_dg,,,,
electricity_dpv,,,,
electricity_unspecified,,,,
