id,commercial_subsectors,industrial_subsectors,residential_subsectors,transportation_subsectors
unspecified,x,,x,
bev_compact,,,,x
bev_midsize,,,,x
bev_pickup,,,,x
bev_suv,,,,x
phev_compact,,,,x
phev_midsize,,,,x
phev_pickup,,,,x
phev_suv,,,,x
bev_light_medium_truck,,,,x
bev_medium_truck,,,,x
bev_non_freight_truck,,,,x
bev_heavy_truck,,,,x
bev_bus,,,,x
rail_transit,,,,x
naics_3273,,x,,
naics_3253,,x,,
naics_3311,,x,,
naics_311_312,,x,,
naics_325_other,,x,,
naics_3241,,x,,
naics_322,,x,,
naics_3_other,,x,,
15_S,x,,x,
25_S,x,,x,
35_E,x,,x,
25_SE,x,,x,
25_W,x,,x,
35_S,x,,x,
15_SE,x,,x,
25_SW,x,,x,
45_E,x,,x,
45_SE,x,,x,
35_W,x,,x,
35_SE,x,,x,
15_E,x,,x,
45_W,x,,x,
25_E,x,,x,
45_S,x,,x,
15_SW,x,,x,
55_S,x,,x,
35_SW,x,,x,
55_SE,x,,x,
45_SW,x,,x,
55_SW,x,,x,
15_W,x,,x,
55_E,x,,x,
