geography,total_electricity
G3101090,2356132355.673459
G4600650,134794048.53006262
G1701350,183614659.15821812
G5300070,850653464.3589633
G2601050,199019520.4343119
G5105100,1437994189.3677087
G2101110,6686861177.384949
G2100430,203577463.02228314
G3800190,53021898.92745134
G1600450,112431718.66743787
G3400350,1941104907.3022394
G0101230,318207961.919286
G3400130,4536465611.268787
G2901230,112781029.6604912
G2801630,163204514.28582153
G2500150,752572604.5185319
G1800950,866309139.4246973
G3800390,73129360.28385127
G4804910,3643958406.731728
G5106600,334830298.2912263
G5000150,113308725.34305277
G2700270,379390386.94115454
G2800210,84151727.54108813
G1600850,172083303.7287743
G2900670,91267868.2841174
G1800430,533695275.318683
G4001290,22117217.919852864
G2901610,334577655.7861471
G3100670,178546819.66753912
G3300110,2265452398.5835185
G2902210,183531362.83425614
G4800070,268179192.11417127
G3800670,57086216.23885544
G1303030,130787052.56469332
G2701250,17381426.23017349
G3400030,4833763467.539897
G2901770,125786493.49277896
G2102350,276274056.38334167
G3800790,78835399.85147984
G4701270,37469951.19234509
G4700070,87072622.09718436
G4000290,53528229.49069997
G1900330,328491230.0731612
G3100690,13885125.211164532
G5401050,42524816.19887527
G3800450,46582760.59161235
G5100970,37102853.396749645
G0101150,621930174.8161898
G4802450,2226244275.00745
G5501370,130711466.34804806
G4200870,365482730.13574713
G2201150,330097410.8981042
G2900530,125439141.36087236
G5105900,447445045.4512222
G2400410,370373083.3108285
G3101470,66800556.84888588
G2101170,1403486064.110713
G2901570,136286015.4548386
G4000630,79794759.82655402
G2601090,116742359.48377872
G1302770,373820194.918987
G4100450,211388834.5812972
G4900530,912245017.1081233
G3500570,71335969.84635663
G0600650,12600160212.464104
G1701250,98044343.24445994
G2600870,398132456.2811166
G3700910,167250827.69060665
G0100530,242138081.73971894
G2101470,151873770.6593991
G2800090,59348004.54214565
G4802570,833262511.241091
G1701510,32056066.531261705
G2700930,118503471.3807117
G2001350,18550258.00897548
G2801170,209580387.0018697
G1302850,495276454.4193572
G1300530,41734294.06702082
G1900710,52808417.80861869
G4000770,90456693.47126478
G4700990,291017407.1586717
G3900530,199774246.33184594
G4800990,456310247.79898936
G1201050,5208434490.964436
G1700250,70952117.16834295
G1200290,123333671.04030088
G5107200,117579090.97299676
G1801790,204251766.02486062
G4600970,13259364.253499523
G1800090,83098920.48728901
G2800790,159671316.97569352
G0801110,15196207.2616673
G0800590,3049772414.5593886
G1801290,149723867.6048547
G4802770,435077471.9961207
G2901130,434232257.7184473
G1700810,280008808.7997231
G4802270,243783304.7471799
G0500310,810450478.9282023
G4600510,69544464.94636708
G3600670,3722547923.109302
G1900730,55769529.768945456
G4900490,2286708527.262558
G2101890,33421638.50598269
G2000870,109902509.48714325
G2101610,170382173.65111274
G3900670,86353593.52899598
G2200650,59814588.86551946
G5108300,126780004.86390942
G1701110,1525823493.0546873
G2000410,180136550.16634783
G0600870,1251971422.5708642
G1300570,1390422405.4552646
G3600330,295843441.5433698
G4500670,295078813.64111155
G5501050,996304243.3687985
G4801750,70419523.7993688
G2600090,160508412.99687657
G3500450,552894532.718202
G4801690,43252503.87852149
G2800770,73654094.36257727
G4802530,110085577.67126335
G3100830,29367309.76446445
G2100450,97482164.61777116
G4804270,416730822.0933401
G5101470,132855121.8860302
G5400910,102419379.14841548
G0800150,98597603.23370793
G3101450,72131727.03995343
G5100710,105133847.0296707
G2405100,4528338833.299047
G0100730,6876778283.274002
G2100810,176217017.5831474
G2101290,56939792.8646379
G2900030,115149340.9957356
G2200290,140618620.336115
G0600850,9025783660.582169
G5500130,118273175.3392289
G3000710,35771148.79460674
G2801350,77965371.51093951
G4900070,91085382.49376538
G1800530,412135300.1545116
G2900590,132068888.396728
G2200030,163011361.5712591
G0501250,849569988.6037172
G3901110,67398650.71153568
G4802490,291320538.7328093
G4800110,7466022.282985582
G3500410,83659769.74864456
G2100250,94421110.47540478
G0800910,32402772.675414495
G1800230,143643058.55887192
G1600610,22801619.119074125
G1200790,163709315.09838173
G2100870,81725222.57133184
G1801690,211998034.07021815
G3900370,323825827.5144588
G0800170,11790521.452127328
G2001770,1488592749.1219504
G3000010,51940370.86632374
G2600930,936347442.0828577
G4701590,140086847.01154566
G3100230,68572954.58988208
G2200050,725730981.0963025
G3901050,104318819.69995545
G3900910,299526730.7355031
G2100990,125432838.64726469
G2101690,69926910.2062302
G1200650,100208583.61686805
G5300570,643897402.213
G0501230,177120189.4472787
G4803810,783121216.1477605
G3701650,349810278.9001038
G1200950,11534725558.407326
G4801630,99540887.69718826
G4804250,70124411.37548754
G0201700,101144706.95272823
G0800030,68257167.78223014
G3600890,624849212.7492353
G0801010,1160905643.9351563
G1700910,603262725.2756543
G1302330,257087968.20113674
G4701630,1666650232.0884376
G5300530,5892248587.791608
G0101190,82877934.22504295
G1200210,3223015759.934673
G0202200,3468549.7956948373
G0100170,245867139.84429228
G3900110,259546024.7903061
G0200500,19090494.6579028
G2001850,22084363.406191822
G2600430,157354741.7806564
G2800310,125518405.11173123
G1300970,1050724263.11689
G4600090,43344827.375732385
G2800410,75265760.77376004
G2900870,44484828.20646527
G2201050,926289941.0813049
G2000550,196490773.90881696
G2102150,95057420.62584066
G4500450,4015537729.342244
G1801530,142979503.9718453
G3700490,814286731.769032
G1901330,52358974.90652262
G1700550,316074203.30822533
G5300490,227869750.2442637
G1600070,35705534.5085085
