gea,pca
AZNMc,p28
AZNMc,p13
AZNMc,p31
AZNMc,p29
AZNMc,p27
AZNMc,p59
AZNMc,p30
CAMXc,p9
CAMXc,p10
CAMXc,p11
ERCTc,p63
ERCTc,p65
ERCTc,p67
ERCTc,p64
ERCTc,p60
ERCTc,p62
ERCTc,p61
FRCCc,p101
FRCCc,p102
MROEc,p75
MROEc,p76
MROEc,p78
MROEc,p74
MROWc,p43
MROWc,p70
MROWc,p36
MROWc,p45
MROWc,p40
MROWc,p41
MROWc,p38
MROWc,p37
MROWc,p68
MROWc,p44
MROWc,p69
MROWc,p46
MROWc,p35
MROWc,p77
MROWc,p42
NEWEc,p132
NEWEc,p131
NEWEc,p130
NEWEc,p134
NEWEc,p133
NEWEc,p129
NWPPc,p5
NWPPc,p2
NWPPc,p4
NWPPc,p25
NWPPc,p1
NWPPc,p21
NWPPc,p20
NWPPc,p15
NWPPc,p12
NWPPc,p3
NWPPc,p17
NWPPc,p6
NWPPc,p16
NWPPc,p18
NWPPc,p26
NWPPc,p14
NWPPc,p7
NWPPc,p8
NWPPc,p19
NYSTc,p127
NYSTc,p128
RFCEc,p122
RFCEc,p126
RFCEc,p123
RFCEc,p125
RFCEc,p124
RFCEc,p119
RFCMc,p103
RFCMc,p104
RFCWc,p80
RFCWc,p112
RFCWc,p107
RFCWc,p116
RFCWc,p115
RFCWc,p105
RFCWc,p111
RFCWc,p79
RFCWc,p117
RFCWc,p114
RFCWc,p118
RFCWc,p106
RFCWc,p110
RFCWc,p121
RFCWc,p113
RFCWc,p120
RMPAc,p33
RMPAc,p34
RMPAc,p24
RMPAc,p23
RMPAc,p39
RMPAc,p32
RMPAc,p22
SPNOc,p53
SPNOc,p54
SPNOc,p55
SPNOc,p52
SPSOc,p50
SPSOc,p48
SPSOc,p51
SPSOc,p57
SPSOc,p47
SPSOc,p56
SPSOc,p49
SRMVc,p58
SRMVc,p85
SRMVc,p66
SRMVc,p87
SRMVc,p86
SRMWc,p72
SRMWc,p81
SRMWc,p83
SRMWc,p84
SRMWc,p82
SRMWc,p71
SRMWc,p73
SRSOc,p94
SRSOc,p90
SRSOc,p89
SRSOc,p91
SRTVc,p92
SRTVc,p109
SRTVc,p88
SRTVc,p108
SRTVc,p93
SRVCc,p99
SRVCc,p97
SRVCc,p98
SRVCc,p95
SRVCc,p96
SRVCc,p100
