id,name,fuel_id,unit
electricity_ev_ldv_home_l1,Home Level 1 Light Duty EV Charging,electricity,MWh
electricity_ev_ldv_home_l2,Home Level 2 Light Duty EV Charging,electricity,MWh
electricity_ev_ldv_work_l1,Workplace Level 1 Light Duty EV Charging,electricity,MWh
electricity_ev_ldv_work_l2,Workplace Level 2 Light Duty EV Charging,electricity,MWh
electricity_ev_ldv_public_l2,Public Level 2 Light Duty EV Charging,electricity,MWh
electricity_ev_ldv_public_dcfc,Public DCFC Light Duty EV Charging,electricity,MWh
electricity_ev_ldv_enroute_dcfc,Enroute DCFC Light Duty EV Charging,electricity,MWh
electricity_ev_mhdv_depot_ac,Depot AC Medium and Heavy Duty EV Charging,electricity,MWh
electricity_ev_mhdv_depot_dc,Depot DC Medium and Heavy Duty EV Charging,electricity,MWh
electricity_ev_mhdv_opportunity_dc,Opportunity DC Medium and Heavy Duty EV Charging,electricity,MWh
electricity_ev_mhdv_enroute_dc,Enroute DC Medium and Heavy Duty EV Charging,electricity,MWh
electricity_rail_transit,Electric Transit Rail,electricity,MWh
