id,transportation_subsectors
Bus+Local+BEV_200,x
Personal_LDV+Compact+BEV_200,x
Personal_LDV+Compact+BEV_300,x
Personal_LDV+Compact+BEV_400,x
Personal_LDV+Compact+PHEV_25,x
Personal_LDV+Compact+PHEV_50,x
Personal_LDV+Midsize+BEV_200,x
Personal_LDV+Midsize+BEV_300,x
Personal_LDV+Midsize+BEV_400,x
Personal_LDV+Midsize+PHEV_25,x
Personal_LDV+Midsize+PHEV_50,x
Personal_LDV+Pickup+BEV_200,x
Personal_LDV+Pickup+BEV_300,x
Personal_LDV+Pickup+BEV_400,x
Personal_LDV+Pickup+PHEV_25,x
Personal_LDV+Pickup+PHEV_50,x
Personal_LDV+SUV+BEV_200,x
Personal_LDV+SUV+BEV_300,x
Personal_LDV+SUV+BEV_400,x
Personal_LDV+SUV+PHEV_25,x
Personal_LDV+SUV+PHEV_50,x
Truck_Heavy+Local+BEV_150,x
Truck_Heavy+Local+BEV_300,x
Truck_Heavy+Long-haul+BEV_300,x
Truck_Heavy+Long-haul+BEV_500,x
Truck_Heavy+Regional+BEV_150,x
Truck_Heavy+Regional+BEV_300,x
Truck_Heavy_Vocational+Local+BEV_150,x
Truck_Heavy_Vocational+Local+BEV_300,x
Truck_Heavy_Vocational+Regional+BEV_150,x
Truck_Heavy_Vocational+Regional+BEV_300,x
Truck_Light+Local+BEV_150,x
Truck_Light+Local+BEV_300,x
Truck_Light+Long-haul+BEV_300,x
Truck_Light+Long-haul+BEV_500,x
Truck_Light+Regional+BEV_150,x
Truck_Light+Regional+BEV_300,x
Truck_Light_Vocational+Local+BEV_150,x
Truck_Light_Vocational+Local+BEV_300,x
Truck_Light_Vocational+Regional+BEV_150,x
Truck_Light_Vocational+Regional+BEV_300,x
Truck_Medium+Local+BEV_150,x
Truck_Medium+Local+BEV_300,x
Truck_Medium+Long-haul+BEV_300,x
Truck_Medium+Long-haul+BEV_500,x
Truck_Medium+Regional+BEV_150,x
Truck_Medium+Regional+BEV_300,x
Truck_Medium_Vocational+Local+BEV_150,x
Truck_Medium_Vocational+Local+BEV_300,x
Truck_Medium_Vocational+Regional+BEV_150,x
Truck_Medium_Vocational+Regional+BEV_300,x
Transit_Rail,x
